vehicle_class and age,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Source
Class 3,1,0.8,0.69,0.6,0.53,0.46,0.41,0.37,0.33,0.3,0.27,0.25,0.23,0.21,0.2,0.19,0.18,0.17,0.17,0.16,0.16,CARB 2021 TCO Discussion Document Appendix G. Vehicle Classes are adjusted to fit example data
Class 4,1,0.88,0.78,0.68,0.61,0.54,0.49,0.44,0.4,0.38,0.35,0.32,0.3,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,CARB 2021 TCO Discussion Document Appendix G. Vehicle Classes are adjusted to fit example data
Class 6,1,0.85,0.72,0.63,0.54,0.47,0.42,0.38,0.34,0.31,0.28,0.26,0.24,0.22,0.21,0.2,0.19,0.18,0.18,0.17,0.17,CARB 2021 TCO Discussion Document Appendix G. Vehicle Classes are adjusted to fit example data
Class 8,1,0.73,0.55,0.44,0.36,0.31,0.28,0.26,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,CARB 2021 TCO Discussion Document Appendix G. Vehicle Classes are adjusted to fit example data
