location,fuel_type,vehicle_class,infrastructure_type,infrastructure_classification,unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Source,Comment
USA,Battery-Electric,Class 3,Depot fast-charging station,Battery-Electric | Class 3 | Depot fast-charging station,USD,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,18577,ICCT 2019 Estimating electric vehicle charging infrastructure costs across major U.S. metropolitan areas,Per charger from source; 6-20 charger per site cost estimate
USA,Battery-Electric,Class 3,Depot overnight charging station,Battery-Electric | Class 3 | Depot overnight charging station,USD,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,17692,ICCT 2019 Estimating electric vehicle charging infrastructure costs across major U.S. metropolitan areas,Per charger from source; 6-50 charger per site cost estimate
USA,Battery-Electric,Class 6,Depot fast-charging station,Battery-Electric | Class 6 | Depot fast-charging station,USD,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,ICCT 2019 Estimating electric vehicle charging infrastructure costs across major U.S. metropolitan areas,Per charger from source; 6-10 charger per site cost estimate; taking the cost of a 350kW setting and scale it linearly by 2 to get the value for a 700 kW charger
USA,Battery-Electric,Class 8,Depot fast-charging station,Battery-Electric | Class 8 | Depot fast-charging station,USD,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,51308,ICCT 2019 Estimating electric vehicle charging infrastructure costs across major U.S. metropolitan areas,Per vehicle from source; 6-10 charger per site cost estimate; taking the cost of a 350kW setting and scale it linearly by 2 to get the value for a 700 kW charger
USA,CNG,Class 6,Depot fuel station,CNG | Class 6 | Depot fuel station,USD,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,CARB 2019/USDOE 2014,Per charger from source; Own estimate based on CARB and USDOE reports
USA,CNG,Class 8,Depot fuel station,CNG | Class 8 | Depot fuel station,USD,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,CARB 2019/USDOE 2014,Per charger from source; Own estimate based on CARB and USDOE reports
USA,Fuel-Cell Electric Hydrogen,Class 6,Depot fuel station,Fuel-Cell Electric Hydrogen | Class 6 | Depot fuel station,USD,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,110000,ICCT 2020 Estimating the infrastructure needs and costs for the launch of Zero-Emission trucks,Per vehicle from source; assumes cost per vehicle base using medium volume trucks on p.18
USA,Fuel-Cell Electric Hydrogen,Class 8,Depot fuel station,Fuel-Cell Electric Hydrogen | Class 8 | Depot fuel station,USD,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,ICCT 2020 Estimating the infrastructure needs and costs for the launch of Zero-Emission trucks,Per vehicle from source; assumes cost per vehicle base using low volume trucks on p.18
